homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,Wolfsburg,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-15,nan,nan,nan,1.28,6.47,12.0,1.29,6.67,10.58
Dortmund,Leverkusen,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-10,nan,nan,nan,1.63,4.39,5.56,1.75,4.18,4.77
Ein Frankfurt,Freiburg,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-13,nan,nan,nan,2.04,3.63,3.93,2.01,3.74,3.92
FC Koln,Hamburg,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-7,nan,nan,nan,2.04,3.67,3.89,2.06,3.62,3.86
Hannover,Schalke 04,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-6,nan,nan,nan,3.15,3.58,2.37,3.1,3.6,2.37
Hertha,Werder Bremen,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-7,nan,nan,nan,1.97,3.67,4.16,2.01,3.53,4.18
Hoffenheim,Augsburg,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-3,nan,nan,nan,1.96,3.83,4.02,1.98,3.76,4.01
M'gladbach,Stuttgart,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-4,nan,nan,nan,1.94,3.73,4.22,1.98,3.75,4.0
Paderborn,Mainz,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-5,nan,nan,nan,3.15,3.43,2.43,3.39,3.51,2.28
Augsburg,Dortmund,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,1,nan,nan,nan,5.11,4.0,1.74,5.76,4.12,1.65
