homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,Wolfsburg,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,16.0,1,16,nan,nan,nan,nan,nan,nan,1.28,6.47,12.0,1.29,6.67,10.58
Dortmund,Leverkusen,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,12.0,2,12,nan,nan,nan,nan,nan,nan,1.63,4.39,5.56,1.75,4.18,4.77
Ein Frankfurt,Freiburg,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,17.0,4,17,nan,nan,nan,nan,nan,nan,2.04,3.63,3.93,2.01,3.74,3.92
FC Koln,Hamburg,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,12.0,5,12,nan,nan,nan,nan,nan,nan,2.04,3.67,3.89,2.06,3.62,3.86
Hannover,Schalke 04,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,13.0,7,13,nan,nan,nan,nan,nan,nan,3.15,3.58,2.37,3.1,3.6,2.37
Hertha,Werder Bremen,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,15.0,8,15,nan,nan,nan,nan,nan,nan,1.97,3.67,4.16,2.01,3.53,4.18
Hoffenheim,Augsburg,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,13.0,10,13,nan,nan,nan,nan,nan,nan,1.96,3.83,4.02,1.98,3.76,4.01
M'gladbach,Stuttgart,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,15.0,11,15,nan,nan,nan,nan,nan,nan,1.94,3.73,4.22,1.98,3.75,4.0
Paderborn,Mainz,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,18.0,13,18,nan,nan,nan,nan,nan,nan,3.15,3.43,2.43,3.39,3.51,2.28
Augsburg,Dortmund,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,7.0,15,14,nan,nan,nan,nan,nan,nan,5.11,4.0,1.74,5.76,4.12,1.65
Hamburg,Paderborn,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,14.0,11,10,nan,nan,nan,nan,nan,nan,1.76,3.96,5.04,1.65,4.22,5.7
Leverkusen,Hertha,4,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,12.0,7,9,nan,nan,nan,nan,nan,nan,1.45,4.86,8.15,1.39,5.28,8.84
Schalke 04,Bayern Munich,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,8.0,16,3,nan,nan,nan,nan,nan,nan,7.07,4.77,1.5,7.64,4.78,1.47
Stuttgart,FC Koln,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,10.0,13,8,nan,nan,nan,nan,nan,nan,1.98,3.65,4.14,2.22,3.61,3.42
Werder Bremen,Hoffenheim,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,13.0,14,8,nan,nan,nan,nan,nan,nan,3.35,3.74,2.2,3.68,3.77,2.07
Wolfsburg,Ein Frankfurt,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,11.0,17,7,nan,nan,nan,nan,nan,nan,1.62,4.34,5.84,1.67,4.31,5.27
Freiburg,M'gladbach,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,14.0,18,11,nan,nan,nan,nan,nan,nan,3.06,3.55,2.43,3.18,3.62,2.33
Mainz,Hannover,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,13.0,17,8,nan,nan,nan,nan,nan,nan,2.18,3.61,3.52,2.17,3.62,3.53
Leverkusen,Werder Bremen,3,3,9,0.2829,0.0422,0.0454,0.53125,0.25,0.21875,0.5,0.0,0.5,1.0,0.3333333333333333,5,12.0,1,10,3.0,1.8,0.19047619047619047,0.2222222222222222,0.6666666666666666,0.10526315789473684,1.37,5.47,9.29,1.36,5.67,9.13
Bayern Munich,Stuttgart,2,0,9,0.5612,0.2591,0.1792,0.41874999999999996,0.55,0.03125,0.5,0.0,0.5,1.0,0.3333333333333333,2,12.0,2,15,1.7,2.3333333333333335,0.11764705882352941,0.14285714285714285,0.1111111111111111,0.05263157894736842,1.17,8.95,19.5,1.18,8.97,16.14
Dortmund,Freiburg,3,1,9,0.0,1.0,0.0,0.34124999999999994,0.55,0.10874999999999999,0.5,0.0,0.5,0.0,0.0,15,18.0,8,17,2.75,1.8571428571428572,0.0,0.0,0.18181818181818182,0.1,1.28,6.5,11.6,1.33,6.05,9.5
Hertha,Mainz,1,3,9,0.3634,0.1542,0.3335,0.051250000000000004,0.65,0.29874999999999996,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,8,13.0,12,11,3.8,3.5,0.10526315789473684,0.14285714285714285,0.2222222222222222,0.2,2.29,3.42,3.45,2.22,3.5,3.52
Hoffenheim,Wolfsburg,1,1,9,0.948,0.0478,0.0,0.4,0.5,0.1,0.5,0.0,0.5,1.0,0.0,6,17.0,8,16,3.3333333333333335,2.25,0.2,0.1111111111111111,0.0,0.11764705882352941,2.47,3.72,2.88,2.6,3.71,2.73
M'gladbach,Schalke 04,4,1,9,0.5612,0.2591,0.1792,0.28,0.6,0.12,0.5,0.0,0.5,0.3333333333333333,0.0,9,17.0,11,15,3.1666666666666665,2.4,0.05263157894736842,0.08333333333333333,0.14285714285714285,0.25,2.42,3.58,3.06,2.32,3.68,3.16
Paderborn,FC Koln,0,0,9,0.0,0.0538,0.943,0.4,0.19999999999999996,0.4,0.5,0.0,0.5,0.3333333333333333,1.0,10,3.0,10,8,3.3333333333333335,2.5,0.2,0.2,0.14285714285714285,0.0,3.1,3.35,2.5,2.88,3.45,2.61
Ein Frankfurt,Augsburg,0,1,9,0.7506,0.2494,0.0,0.46374999999999994,0.65,-0.11374999999999996,0.5,0.0,0.5,1.0,0.0,6,16.0,9,18,3.3333333333333335,6.0,0.1,0.0,0.0,0.2,2.29,3.52,3.34,2.35,3.45,3.28
Hannover,Hamburg,2,0,9,0.0,1.0,0.0,0.41874999999999996,0.55,0.03125,0.5,0.0,0.5,1.0,0.3333333333333333,7,13.0,10,15,2.6666666666666665,4.75,0.25,0.0,0.08333333333333333,0.0,2.19,3.6,3.5,2.11,3.74,3.58
Freiburg,Hertha,2,2,9,0.0,1.0,0.0,0.09435937499999998,0.8625,0.043140624999999974,0.5,0.0,0.5,0.3333333333333333,0.0,14,16.0,18,14,4.25,3.0,0.0,0.6666666666666666,0.0,0.19047619047619047,2.56,3.41,2.97,2.72,3.43,2.76
Augsburg,Werder Bremen,4,2,9,0.0709,0.0544,0.2665,0.21267812500000002,0.5325,0.25482187500000003,0.53125,0.25,0.21875,0.0,0.4,16,7.0,11,12,4.0,1.7000000000000002,0.16666666666666666,0.2986111111111111,0.13636363636363635,0.11032388663967611,1.86,3.84,4.48,1.87,3.81,4.5
Hamburg,Bayern Munich,0,0,9,0.0,0.0907,0.9084,-0.040184374999999994,0.5325,0.507684375,0.5,0.0,0.5,0.0,0.3333333333333333,17,8.0,16,1,3.25,2.5,0.0,0.1,0.2,0.125,11.8,6.25,1.29,8.93,5.28,1.38
