homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Almeria,Espanol,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-15,nan,nan,nan,2.8,3.29,2.78,3.19,3.26,2.5
Granada,La Coruna,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-16,-15,nan,nan,nan,2.05,3.33,4.31,2.2,3.34,3.75
Malaga,Ath Bilbao,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-10,nan,nan,nan,2.96,3.37,2.6,3.14,3.23,2.56
Sevilla,Valencia,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-8,nan,nan,nan,2.05,3.62,3.9,2.29,3.46,3.4
Barcelona,Elche,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,1.1,13.15,29.7,1.11,12.8,24.0
Celta,Getafe,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-5,nan,nan,nan,1.92,3.64,4.45,1.68,3.88,5.9
Eibar,Sociedad,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,3.53,3.37,2.27,3.08,3.16,2.65
Levante,Villarreal,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,3.84,3.42,2.14,5.14,3.46,1.86
Real Madrid,Cordoba,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-5,nan,nan,nan,1.07,16.85,33.5,1.06,18.01,39.31
Vallecano,Ath Madrid,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-3,nan,nan,nan,7.07,4.45,1.53,5.66,3.61,1.76
