homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
La Coruna,Eibar,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,2.01,3.39,4.39,2.05,3.39,4.2
Malaga,Osasuna,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,15.0,2,15,nan,nan,nan,nan,nan,nan,1.61,3.89,7.0,1.66,3.78,6.59
Barcelona,Betis,6,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,12.0,4,12,nan,nan,nan,nan,nan,nan,1.1,13.0,29.5,1.1,12.65,29.5
Granada,Villarreal,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,20.0,5,20,nan,nan,nan,nan,nan,nan,2.61,3.19,3.09,2.76,3.22,2.89
Sevilla,Espanol,6,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,14.0,7,14,nan,nan,nan,nan,nan,nan,1.73,4.02,5.18,1.71,3.93,5.49
Ath Madrid,Alaves,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,8,18,nan,nan,nan,nan,nan,nan,1.23,6.25,20.4,1.24,6.0,20.0
Sociedad,Real Madrid,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,18.0,10,18,nan,nan,nan,nan,nan,nan,5.13,3.98,1.74,5.49,4.02,1.69
Sp Gijon,Ath Bilbao,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,12,19,nan,nan,nan,nan,nan,nan,4.4,3.54,1.96,4.66,3.57,1.9
Celta,Leganes,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,18.0,13,18,nan,nan,nan,nan,nan,nan,1.63,4.0,6.47,1.68,3.84,6.09
Valencia,Las Palmas,2,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,15,20,nan,nan,nan,nan,nan,nan,1.77,3.89,5.07,1.75,3.89,5.23
Betis,La Coruna,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,7.0,17,1,nan,nan,nan,nan,nan,nan,2.22,3.34,3.7,2.21,3.37,3.69
Espanol,Malaga,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,8.0,18,8,nan,nan,nan,nan,nan,nan,2.38,3.27,3.39,2.34,3.25,3.51
Eibar,Valencia,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,16.0,19,18,nan,nan,nan,nan,nan,nan,2.78,3.25,2.84,2.84,3.34,2.72
Leganes,Ath Madrid,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,12.0,6,11,nan,nan,nan,nan,nan,nan,7.88,3.83,1.58,9.31,4.02,1.51
Osasuna,Sociedad,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,13.0,14,17,nan,nan,nan,nan,nan,nan,3.19,3.13,2.59,3.12,3.22,2.57
Real Madrid,Celta,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,15.0,8,18,nan,nan,nan,nan,nan,nan,1.22,7.9,14.09,1.18,8.5,17.85
Alaves,Sp Gijon,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,14.0,16,7,nan,nan,nan,nan,nan,nan,2.15,3.26,4.02,2.52,3.14,3.28
Ath Bilbao,Barcelona,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,12.0,20,5,nan,nan,nan,nan,nan,nan,6.44,4.66,1.54,6.33,4.37,1.58
Las Palmas,Granada,5,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,13.0,9,13,nan,nan,nan,nan,nan,nan,1.91,3.6,4.58,1.83,3.85,4.7
