home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
Montpellier,Toulouse,1,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.15,3.17,4.16,,,,0.0,-15,-15
Evian Thonon Gaillard,Bordeaux,2,3,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.29,3.13,2.52,,,,0.0,-17,-16
Nancy,Brest,1,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.89,3.34,5.19,,,,0.0,-12,-10
Nice,Ajaccio,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.19,3.18,4.01,,,,0.0,-15,-13
Paris SG,Lorient,2,2,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.37,5.18,10.5,,,,0.0,-12,-9
Rennes,Lyon,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.06,3.31,4.23,,,,0.0,-12,-8
Sochaux,Bastia,2,3,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.05,3.04,2.76,,,,0.0,-10,-5
St Etienne,Lille,1,2,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.99,3.3,2.61,,,,0.0,-9,-3
Troyes,Valenciennes,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.5,3.16,3.29,,,,0.0,-10,-3
Reims,Marseille,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.6,3.35,2.25,,,,0.0,-10,-2
Lille,Nancy,1,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.51,4.21,8.42,,,,0.0,-1,1
Bastia,Reims,2,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.7,3.65,6.35,,,,0.0,-7,-16
Brest,Evian Thonon Gaillard,1,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.54,3.08,3.29,,,,0.0,1,7
Lorient,Montpellier,2,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.02,3.21,2.65,,,,0.0,3,2
