homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Lille,Paris SG,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,18.0,1,18,nan,nan,nan,nan,nan,nan,6.64,3.78,1.65,7.58,3.91,1.58
Bastia,Rennes,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,16.0,3,16,nan,nan,nan,nan,nan,nan,2.71,3.09,3.0,2.81,2.93,3.1
Marseille,Caen,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,14.0,4,14,nan,nan,nan,nan,nan,nan,1.56,4.35,6.59,1.57,4.13,7.04
Montpellier,Angers,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,14.0,6,14,nan,nan,nan,nan,nan,nan,1.81,3.44,5.53,1.84,3.42,5.42
Nantes,Guingamp,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,15.0,8,15,nan,nan,nan,nan,nan,nan,2.2,3.11,4.01,2.37,3.01,3.76
Nice,Monaco,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,14.0,9,14,nan,nan,nan,nan,nan,nan,4.14,3.38,2.05,4.36,3.42,1.99
Troyes,Ajaccio GFCO,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,20.0,11,20,nan,nan,nan,nan,nan,nan,2.03,3.26,4.43,2.0,3.42,4.41
Bordeaux,Reims,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,20.0,13,20,nan,nan,nan,nan,nan,nan,1.69,3.85,5.8,1.72,3.8,5.7
Lyon,Lorient,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,20.0,15,20,nan,nan,nan,nan,nan,nan,1.57,4.16,6.67,1.55,4.24,7.2
Toulouse,St Etienne,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,17,20,nan,nan,nan,nan,nan,nan,3.12,3.12,2.6,2.71,3.18,2.93
Monaco,Lille,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,8.0,4,13,nan,nan,nan,nan,nan,nan,1.63,3.8,7.0,1.67,3.79,6.37
Angers,Nantes,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,12.0,5,3,nan,nan,nan,nan,nan,nan,2.55,3.03,3.3,2.58,3.0,3.34
Caen,Toulouse,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,17.0,6,5,nan,nan,nan,nan,nan,nan,2.32,3.34,3.39,2.42,3.37,3.22
Guingamp,Lyon,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,16.0,18,11,nan,nan,nan,nan,nan,nan,3.78,3.33,2.17,4.24,3.41,2.04
Rennes,Montpellier,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,13.0,19,15,nan,nan,nan,nan,nan,nan,2.27,3.17,3.73,2.21,3.14,4.0
St Etienne,Bordeaux,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,16.0,20,18,nan,nan,nan,nan,nan,nan,2.01,3.3,4.45,2.17,3.27,3.93
Troyes,Nice,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.3333333333333333,0.0,6,15.0,12,19,3.0,nan,0.0,nan,0.0,nan,2.11,3.32,3.94,2.06,3.49,4.05
Lorient,Bastia,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,13.0,16,6,nan,nan,nan,nan,nan,nan,1.86,3.39,5.18,1.88,3.46,5.04
Paris SG,Ajaccio GFCO,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.3333333333333333,18,13.0,9,17,nan,6.0,nan,0.0,nan,0.0,1.13,10.0,27.7,1.16,8.73,22.27
Reims,Marseille,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,14.0,10,18,nan,nan,nan,nan,nan,nan,3.44,3.48,2.24,3.7,3.43,2.18
Montpellier,Paris SG,0,1,8,0.0,0.0821,0.9168,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,16,5.0,19,2,2.75,3.5,0.0,0.14285714285714285,0.125,0.0,9.1,4.4,1.46,8.81,4.49,1.46
Ajaccio GFCO,Angers,0,2,8,nan,nan,nan,0.03125,0.55,0.41874999999999996,0.5,0.0,0.5,0.0,1.0,20,4.0,17,8,nan,2.6666666666666665,nan,0.125,nan,0.0,2.31,3.04,3.8,2.57,2.98,3.38
Bastia,Guingamp,3,0,8,0.9144,0.0845,0.0,0.46374999999999994,0.65,-0.11374999999999996,0.5,0.0,0.5,1.0,0.0,1,18.0,5,20,3.6666666666666665,2.5,0.18181818181818182,0.0,0.16666666666666666,0.1111111111111111,2.44,3.05,3.48,2.36,3.02,3.71
Lyon,Rennes,1,2,8,0.0,1.0,0.0,0.41500000000000004,0.30000000000000004,0.2849999999999999,0.5,0.0,0.5,0.3333333333333333,0.0,9,19.0,7,10,3.5,2.0,0.0,0.16666666666666666,0.0,0.18181818181818182,1.62,3.88,6.65,1.63,3.8,6.95
Nantes,Reims,1,0,8,0.7092,0.2907,0.0,0.33875,0.15000000000000002,0.51125,0.5,0.0,0.5,1.0,1.0,2,7.0,7,6,2.25,2.3333333333333335,0.1111111111111111,0.14285714285714285,0.0,0.07142857142857142,2.29,3.12,3.73,2.6,3.01,3.3
Nice,Caen,2,1,8,0.0,0.0845,0.9144,0.08875000000000002,0.35,0.56125,0.5,0.0,0.5,0.0,1.0,17,5.0,14,5,2.5,2.0,0.2,0.125,0.10526315789473684,0.0,2.28,3.37,3.46,2.3,3.4,3.44
Toulouse,Monaco,1,1,8,0.378,0.1797,0.378,0.16625000000000006,0.44999999999999996,0.38375,0.5,0.0,0.5,1.0,1.0,4,4.0,11,10,3.0,3.1666666666666665,0.2222222222222222,0.10526315789473684,0.09090909090909091,0.2,3.06,3.22,2.58,2.75,3.29,2.84
Lille,Bordeaux,0,0,8,0.0,0.3092,0.6908,0.15000000000000002,0.7,0.15000000000000002,0.5,0.0,0.5,0.0,0.3333333333333333,15,12.0,14,15,6.0,5.666666666666667,0.0,0.058823529411764705,0.14285714285714285,0.14285714285714285,2.11,3.28,4.06,2.08,3.29,4.25
Lorient,St Etienne,0,1,8,0.5925,0.2021,0.1981,0.28,0.6,0.12,0.5,0.0,0.5,0.3333333333333333,0.0,15,20.0,15,16,3.0,5.5,0.08333333333333333,0.09090909090909091,0.14285714285714285,0.2222222222222222,2.67,3.08,3.07,2.47,3.29,3.21
Marseille,Troyes,6,0,8,nan,nan,nan,-0.09375,0.75,0.34375,0.5,0.0,0.5,0.0,0.0,16,18.0,18,14,4.25,nan,0.0,nan,0.125,nan,1.65,3.91,6.07,1.65,3.89,6.4
Guingamp,Marseille,2,0,8,0.0,1.0,0.0,-0.08580000000000002,0.78,0.30579999999999996,0.5,0.0,0.5,0.0,0.0,19,16.0,20,13,3.6666666666666665,3.25,0.0,0.0,0.09090909090909091,0.06666666666666667,4.25,3.34,2.06,4.4,3.35,2.02
Angers,Nice,1,1,8,0.0,1.0,0.0,0.428175,0.28500000000000003,0.286825,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,15,13.0,4,9,3.3333333333333335,3.0,0.0,0.16666666666666666,0.0,0.2727272727272727,2.29,3.18,3.64,2.34,3.32,3.44
Caen,Lyon,0,4,8,0.0,1.0,0.0,0.2888875,0.505,0.20611249999999998,0.5,0.0,0.5,1.0,1.0,6,4.0,5,10,3.0,3.6666666666666665,0.1111111111111111,0.09090909090909091,0.0,0.0,3.47,3.42,2.25,3.52,3.26,2.32
Lille,Ajaccio GFCO,1,0,8,0.0,1.0,0.0,0.24423437500000003,0.7525,0.003265625000000022,0.16874999999999998,0.75,0.08125000000000002,0.2,0.2,13,15.0,15,19,4.5,5.0,0.0,0.0,0.07142857142857142,0.05555555555555555,1.48,4.11,9.5,1.64,3.59,7.63
Reims,Lorient,4,1,8,0.0,1.0,0.0,0.31539062500000004,0.5874999999999999,0.09710937500000004,0.5,0.0,0.5,1.0,0.3333333333333333,11,14.0,8,18,3.0,2.0,0.06666666666666667,0.0,0.0,0.0,2.32,3.28,3.47,2.31,3.23,3.6
Rennes,Toulouse,3,1,8,0.6091,0.3909,0.0,0.4175875,0.395,0.18741249999999998,0.5,0.0,0.5,1.0,0.0,10,19.0,8,12,5.0,3.25,0.1,0.0,0.0,0.1111111111111111,2.23,3.25,3.72,2.29,3.29,3.55
Troyes,Montpellier,0,0,8,0.7556,0.2444,0.0,0.19679687499999998,0.8625,-0.05929687500000003,0.21875,0.25,0.53125,0.4,0.0,12,17.0,16,20,2.2857142857142856,0.0,0.13636363636363635,0.0,0.08333333333333333,0.1,2.45,3.25,3.24,2.58,3.18,3.14
Bordeaux,Nantes,2,0,8,0.0,1.0,0.0,0.14905000000000002,0.395,0.45594999999999997,0.5,0.0,0.5,0.0,0.3333333333333333,19,14.0,17,6,3.5,2.0,0.07142857142857142,0.0,0.14285714285714285,0.0,2.07,3.17,4.41,2.17,3.07,4.28
Monaco,Paris SG,0,3,8,0.0,1.0,0.0,0.283009375,0.2025,0.514490625,0.5,0.0,0.5,0.3333333333333333,1.2,16,3.0,12,2,3.0,2.65,0.0,0.12698412698412698,0.0,0.0,4.31,3.36,2.02,4.37,3.27,2.06
St Etienne,Bastia,2,1,8,0.2713,0.2967,0.4317,0.286825,0.28500000000000003,0.428175,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,17,12.0,14,5,3.5,3.5,0.14285714285714285,0.14285714285714285,0.058823529411764705,0.08333333333333333,1.7,3.59,6.36,1.67,3.64,6.85
Paris SG,Bordeaux,2,2,9,0.5809,0.4191,0.0,0.5153125,0.17500000000000004,0.3096875,0.53125,0.25,0.21875,1.0,0.4,14,10.0,1,12,3.0,4.333333333333334,0.1111111111111111,0.029411764705882353,0.0,0.07142857142857142,1.28,5.96,13.94,1.27,6.3,13.49
Lorient,Angers,3,1,9,0.0,0.109,0.8905,-0.004062499999999941,0.575,0.4290625,0.020000000000000018,0.4,0.58,0.2,1.2,18,3.0,18,4,4.0,2.2333333333333334,0.041666666666666664,0.1736111111111111,0.11309523809523808,0.0,2.0,3.31,4.48,2.01,3.17,4.79
Lyon,Lille,0,0,9,0.0,1.0,0.0,0.325,0.35,0.325,0.020000000000000018,0.4,0.58,0.2,0.3333333333333333,17,11.0,7,11,3.625,4.5,0.03333333333333333,0.0,0.16666666666666666,0.0,1.83,3.49,5.17,1.93,3.28,5.08
Montpellier,St Etienne,1,2,9,0.0,0.1897,0.8102,0.024999999999999967,0.5,0.47500000000000003,-0.10499999999999998,0.7,0.405,0.0,0.6,19,8.0,19,8,3.041666666666667,3.95,0.0,0.08712121212121213,0.11805555555555555,0.1111111111111111,2.85,3.1,2.88,2.83,3.22,2.8
Nice,Guingamp,0,1,9,0.9215,0.0771,0.0,0.325,0.5,0.175,0.405,0.7,-0.10499999999999998,0.6,0.0,11,20.0,12,18,2.125,3.125,0.24285714285714285,0.0,0.09429824561403508,0.20555555555555555,2.25,3.29,3.68,2.32,3.15,3.67
