homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bastia,Paris SG,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-18,-18,nan,nan,nan,11.39,5.14,1.36,12.13,5.29,1.34
Monaco,Guingamp,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-16,nan,nan,nan,1.68,3.81,6.11,1.71,3.75,5.87
Bordeaux,St Etienne,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-15,nan,nan,nan,2.52,3.06,3.29,2.39,3.04,3.66
Caen,Lorient,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,2.19,3.38,3.66,2.39,3.19,3.47
Dijon,Nantes,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,2.56,3.09,3.21,2.57,3.04,3.31
Metz,Lille,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-7,nan,nan,nan,3.65,3.07,2.35,3.75,3.14,2.3
Montpellier,Angers,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-5,nan,nan,nan,2.09,3.17,4.32,1.9,3.28,5.26
Marseille,Toulouse,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-8,nan,nan,nan,2.03,3.37,4.22,2.1,3.3,4.16
Nancy,Lyon,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-2,nan,nan,nan,3.66,3.44,2.17,2.98,3.29,2.63
Nice,Rennes,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-4,nan,nan,nan,2.51,3.18,3.2,2.45,3.15,3.39
Lyon,Caen,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,4,nan,nan,nan,1.38,5.4,9.15,1.41,5.16,8.6
Angers,Nice,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,10,nan,nan,nan,2.55,2.93,3.43,2.74,2.92,3.2
Lille,Dijon,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,3,nan,nan,nan,1.68,3.67,6.38,1.76,3.38,6.41
Lorient,Bastia,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,4,nan,nan,nan,1.9,3.37,4.96,2.23,3.06,4.09
Nantes,Monaco,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,-2,nan,nan,nan,2.63,3.08,3.12,2.5,3.08,3.39
Rennes,Nancy,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,3,nan,nan,nan,2.11,3.23,4.15,2.08,3.3,4.25
Toulouse,Bordeaux,4,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,8,9,nan,nan,nan,2.5,3.14,3.26,2.7,3.14,3.02
Guingamp,Marseille,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,1,nan,nan,nan,2.67,3.22,2.94,2.98,3.15,2.72
Paris SG,Metz,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,5,nan,nan,nan,1.13,9.63,28.24,1.12,10.64,30.74
St Etienne,Montpellier,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,9,nan,nan,nan,2.05,3.15,4.55,2.52,3.05,3.37
Marseille,Lorient,2,0,8,0.0,1.0,0.0,0.145,0.9,-0.04500000000000001,0.5,0.0,0.5,0.3333333333333333,-4,-4,1.0,-0.25,-0.2,1.79,3.82,4.9,1.83,3.72,4.85
Caen,Bastia,2,0,8,0.0,0.0025,0.8448,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,0.0,2,2,0.2142857142857144,0.012500000000000011,0.25,2.16,3.17,4.05,2.22,3.1,4.05
Dijon,Lyon,4,2,8,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,-1.0,12,14,1.7142857142857142,-0.3333333333333333,0.1,4.87,3.81,1.79,5.07,3.79,1.79
Metz,Angers,2,0,8,0.8602,0.1396,0.0,0.28,0.8,-0.08000000000000004,0.5,0.0,0.5,1.0,-11,-7,-3.6666666666666665,0.42857142857142855,0.08241758241758243,2.55,2.99,3.35,2.77,3.08,2.98
Montpellier,Rennes,1,1,8,0.4812,0.5188,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,-13,-3,-0.08333333333333304,0.07142857142857142,-0.14285714285714285,2.5,3.18,3.22,2.13,3.2,4.2
