homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Arsenal,Sunderland,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,20.0,1,20,nan,nan,nan,nan,nan,nan,1.44,4.76,8.78,1.44,4.72,8.71
Fulham,Norwich,5,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,15.0,3,15,nan,nan,nan,nan,nan,nan,1.82,3.81,4.8,1.84,3.75,4.75
Newcastle,Tottenham,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,18.0,4,18,nan,nan,nan,nan,nan,nan,2.65,3.47,2.82,2.83,3.35,2.72
QPR,Swansea,0,5,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,17.0,5,17,nan,nan,nan,nan,nan,nan,2.05,3.53,4.01,2.0,3.53,4.15
Reading,Stoke,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,20.0,7,20,nan,nan,nan,nan,nan,nan,2.4,3.37,3.26,2.47,3.3,3.22
West Brom,Liverpool,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,20.0,9,20,nan,nan,nan,nan,nan,nan,4.39,3.59,1.94,4.76,3.74,1.84
West Ham,Aston Villa,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,15.0,10,15,nan,nan,nan,nan,nan,nan,2.26,3.49,3.43,2.14,3.5,3.71
Man City,Southampton,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,18.0,11,18,nan,nan,nan,nan,nan,nan,1.2,7.5,19.75,1.13,9.38,26.18
Wigan,Chelsea,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,14.0,12,14,nan,nan,nan,nan,nan,nan,6.05,4.02,1.65,4.92,3.77,1.81
Everton,Man United,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,16.0,14,16,nan,nan,nan,nan,nan,nan,4.27,3.77,1.92,3.91,3.59,2.06
Chelsea,Reading,4,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,9.0,7,10,nan,nan,nan,nan,nan,nan,1.27,6.15,13.8,1.3,5.75,12.6
