homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Burnley,Swansea,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-13,nan,nan,nan,2.47,3.32,3.19,2.79,3.16,2.89
Crystal Palace,West Brom,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-14,nan,nan,nan,2.06,3.29,4.32,2.25,3.15,3.86
Everton,Tottenham,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-11,nan,nan,nan,3.25,3.43,2.37,3.64,3.54,2.16
Hull,Leicester,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-8,nan,nan,nan,4.43,3.55,1.95,4.68,3.5,1.92
Man City,Sunderland,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-10,nan,nan,nan,1.27,6.48,13.15,1.25,6.5,14.5
Middlesbrough,Stoke,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-7,nan,nan,nan,2.33,3.24,3.53,2.2,3.38,3.7
Southampton,Watford,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-6,nan,nan,nan,1.88,3.68,4.64,1.8,3.83,4.91
Arsenal,Liverpool,3,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-7,nan,nan,nan,2.41,3.53,3.1,2.8,3.44,2.68
Bournemouth,Man United,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-2,nan,nan,nan,4.7,3.62,1.88,5.4,3.65,1.78
Chelsea,West Ham,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-3,nan,nan,nan,1.68,4.16,5.48,1.52,4.38,7.45
Man United,Southampton,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,-6,nan,nan,nan,1.54,4.33,7.19,1.53,4.27,7.44
Burnley,Liverpool,2,0,8,0.0,0.0532,0.9435,0.5,0.0,0.5,0.5,0.0,0.5,-1.0,4,7,1.047619047619048,-0.25,-0.2745098039215686,7.12,4.2,1.56,7.26,4.54,1.51
Leicester,Arsenal,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,2,nan,nan,nan,2.92,3.6,2.5,2.82,3.5,2.63
Stoke,Man City,1,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,10,nan,nan,nan,5.47,3.96,1.71,6.29,4.34,1.58
Swansea,Hull,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,2,nan,nan,nan,1.78,3.61,5.5,1.86,3.55,4.95
Tottenham,Crystal Palace,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,-2,nan,nan,nan,1.47,4.78,7.82,1.47,4.64,7.91
Watford,Chelsea,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,10,nan,nan,nan,5.44,3.74,1.76,6.0,3.99,1.66
West Brom,Everton,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,-2,nan,nan,nan,3.11,3.19,2.6,3.08,3.17,2.63
Sunderland,Middlesbrough,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,8,nan,nan,nan,2.61,3.22,3.06,2.79,3.1,2.94
West Ham,Bournemouth,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,2,nan,nan,nan,1.98,3.75,4.02,2.48,3.31,3.17
Chelsea,Burnley,3,0,8,nan,nan,nan,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,-10,-5,nan,nan,nan,1.26,6.35,14.35,1.25,6.6,15.24
Crystal Palace,Bournemouth,1,1,8,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-5,-1,1.9,0.0,0.010256410256410262,2.33,3.38,3.39,2.23,3.36,3.64
Everton,Stoke,1,0,8,0.3613,0.3508,0.2878,0.47500000000000003,0.5,0.024999999999999967,0.5,0.0,0.5,0.0,-3,-13,-10.0,0.0,-0.006410256410256401,1.74,3.79,5.55,1.68,4.2,5.39
Hull,Man United,0,1,8,0.2992,0.2016,0.479,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-2,-2,1.2285714285714284,-0.12987012987012986,-0.05555555555555555,8.35,4.6,1.46,9.15,4.54,1.45
Leicester,Swansea,2,1,8,0.0,1.0,0.0,0.13374999999999998,0.65,0.21625,0.5,0.0,0.5,-0.6666666666666667,5,8,6.111111111111111,-0.058823529411764705,0.0,1.71,3.88,5.57,1.69,4.12,5.37
Southampton,Sunderland,1,1,8,0.6118,0.2318,0.1554,0.145,0.9,-0.04500000000000001,0.5,0.0,0.5,0.3333333333333333,-7,-5,1.6666666666666665,-0.10119047619047619,0.07500000000000001,1.61,4.03,6.63,1.48,4.75,7.45
Tottenham,Liverpool,1,1,8,0.8858,0.1137,0.0,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.4,-1,-5,0.2571428571428571,-0.075,-0.5,2.36,3.56,3.17,2.68,3.37,2.85
Watford,Arsenal,1,3,8,0.0,1.0,0.0,0.08125000000000002,0.75,0.16874999999999998,0.5,0.0,0.5,-0.3333333333333333,7,3,-0.25,0.16666666666666666,0.15384615384615385,5.47,3.91,1.72,6.0,4.16,1.63
Man City,West Ham,3,1,8,0.8272,0.0937,0.0514,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,-13,-9,1.6666666666666665,-0.01785714285714285,0.01785714285714285,1.3,6.3,10.91,1.26,6.5,13.25
West Brom,Middlesbrough,0,0,8,0.0643,0.1083,0.8045,0.16000000000000006,0.3999999999999999,0.44000000000000006,0.5,0.0,0.5,-1.0,11,6,0.08333333333333348,-0.1590909090909091,0.0982905982905983,2.6,3.09,3.2,2.65,3.1,3.12
Arsenal,Southampton,2,1,9,0.9252,0.0067,0.0,0.339109375,0.5325,0.12839062500000004,0.5,0.0,0.5,0.0,-4,-7,-11.2,0.3333333333333333,0.08333333333333334,1.6,4.35,6.15,1.63,4.17,6.05
Bournemouth,West Brom,1,0,9,0.0,0.0821,0.9168,0.07315000000000003,0.6699999999999999,0.25685,0.5,0.0,0.5,-1.0,5,7,-1.333333333333333,0.03418803418803418,0.2727272727272727,2.05,3.31,4.33,2.12,3.25,4.14
Burnley,Hull,1,1,9,0.0,0.4346,0.5654,0.1342,0.5599999999999999,0.30580000000000007,0.28,0.19999999999999996,0.52,-0.4,0,7,-0.583333333333333,0.16666666666666666,0.029411764705882353,2.44,3.21,3.36,2.55,3.14,3.23
Liverpool,Leicester,4,1,9,nan,nan,nan,0.200303125,0.47750000000000004,0.322196875,0.5,0.0,0.5,0.0,1,2,nan,nan,nan,1.7,3.97,5.54,1.68,4.07,5.52
Man United,Man City,1,2,9,0.8111,0.1889,0.0,0.495,0.010000000000000009,0.495,0.5,0.0,0.5,0.0,3,2,0.3999999999999999,-0.16666666666666666,-0.125,2.38,3.31,3.35,2.42,3.1,3.51
Middlesbrough,Crystal Palace,1,2,9,0.5654,0.4346,0.0,0.3916,0.56,0.04839999999999994,0.5,0.0,0.5,0.3333333333333333,-2,-9,1.0,0.08333333333333333,0.033333333333333326,2.31,3.2,3.65,2.45,3.21,3.32
Stoke,Tottenham,0,4,9,0.0569,0.0993,0.817,-0.02956250000000002,0.615,0.41456250000000006,0.5,0.0,0.5,-0.3333333333333333,3,9,-0.5833333333333335,0.04807692307692307,0.25,4.34,3.82,1.89,4.27,3.68,1.94
West Ham,Watford,2,4,9,0.5654,0.4346,0.0,0.2079,0.78,0.012099999999999972,0.5,0.0,0.5,0.6666666666666667,-4,-3,2.5,-0.13333333333333336,-0.041666666666666664,1.9,3.6,4.62,1.9,3.76,4.4
Swansea,Chelsea,2,2,9,0.0,0.0508,0.9456,0.03396250000000001,0.395,0.5710375,0.5,0.0,0.5,-1.0,7,14,1.083333333333333,-0.15384615384615385,0.0,5.77,4.17,1.65,6.59,4.25,1.58
Sunderland,Everton,0,3,9,0.0691,0.1207,0.796,0.03575000000000003,0.44999999999999996,0.51425,0.5,0.0,0.5,-1.0,9,15,1.7428571428571429,-0.0982905982905983,0.1590909090909091,3.75,3.6,2.1,3.67,3.51,2.16
Chelsea,Liverpool,1,2,9,0.8814,0.0528,0.021,0.4103125,0.2749999999999999,0.31468750000000006,0.5392,0.28,0.18079999999999996,0.6285714285714286,-8,-5,-1.5063492063492063,0.0217074592074592,-0.29220779220779214,2.28,3.49,3.4,2.19,3.59,3.52
Everton,Middlesbrough,3,1,9,0.2482,0.539,0.2128,0.5196875000000001,0.32499999999999996,0.15531250000000002,0.40625,0.25,0.34375,0.0,-2,-7,-0.9166666666666661,-0.059523809523809534,0.010683760683760687,1.65,3.99,6.19,1.65,3.89,6.35
Hull,Arsenal,1,4,9,0.1391,0.3415,0.5194,0.22375,0.35,0.42625,0.16000000000000006,0.3999999999999999,0.44000000000000006,-0.20000000000000007,0,-1,1.0607142857142855,-0.07857142857142857,0.009304871373836891,6.03,4.2,1.6,6.12,4.19,1.62
Leicester,Burnley,3,0,9,0.9095,0.0897,0.0,0.2,0.6,0.2,0.395,0.09999999999999998,0.505,0.8,-12,3,5.083333333333333,0.07692307692307693,-0.0808080808080808,1.46,4.49,8.87,1.5,4.6,7.32
Man City,Bournemouth,4,0,9,0.7705,0.1738,0.0549,0.5253125000000001,0.22499999999999998,0.2496875,0.56125,0.35,0.08875000000000002,1.0,-11,-11,1.7333333333333334,0.08068181818181817,0.07281746031746031,1.28,6.24,12.78,1.25,6.95,13.05
West Brom,West Ham,4,2,9,0.4159,0.3334,0.2506,0.1346875,0.775,0.09031249999999999,0.21375000000000002,0.85,-0.06375,0.2,-3,-1,1.208333333333333,-0.08152958152958152,-0.05375874125874125,2.9,3.19,2.76,2.91,3.23,2.72
Crystal Palace,Stoke,4,1,9,0.2188,0.5584,0.2228,0.36250000000000004,0.7,-0.06249999999999997,0.16874999999999998,0.75,0.08125000000000002,0.0,0,-6,-5.85,-0.020833333333333332,0.022985347985348,2.09,3.37,4.08,2.12,3.41,3.92
Southampton,Swansea,1,0,9,0.3056,0.3823,0.3121,0.08124999999999999,0.75,0.16875,0.26375,0.55,0.18624999999999997,-0.19999999999999996,3,3,0.6984126984126982,-0.03288398692810458,0.12307692307692308,1.68,3.84,6.17,1.67,4.06,5.74
Tottenham,Sunderland,1,0,9,0.529,0.3469,0.1241,0.48531250000000004,0.5249999999999999,-0.010312499999999947,0.4,0.5,0.1,0.6000000000000001,-8,-13,0.958333333333333,-0.10097402597402597,-0.055288461538461536,1.35,5.52,10.26,1.34,5.75,9.75
Watford,Man United,3,1,9,0.0146,0.0547,0.9125,0.20718749999999997,0.475,0.31781250000000005,-0.125,0.5,0.625,-1.2,14,10,0.2698412698412702,-0.03455739662636215,0.17136752136752137,5.8,4.12,1.65,6.5,4.27,1.58
Arsenal,Chelsea,3,0,9,0.2006,0.1333,0.4885,0.43124999999999997,0.30000000000000004,0.26875,0.29124999999999995,0.3500000000000001,0.35874999999999996,-0.20000000000000007,3,-1,1.5250000000000004,0.11285283344106871,-0.07954545454545453,2.35,3.53,3.21,2.48,3.49,3.02
Bournemouth,Everton,1,0,9,0.0261,0.0949,0.874,0.12249999999999994,0.3500000000000001,0.5275,0.28,0.19999999999999996,0.52,-0.6,9,14,0.6603174603174606,-0.05470085470085473,0.0909090909090909,3.79,3.57,2.1,3.33,3.46,2.32
Liverpool,Hull,5,1,9,0.4151,0.2711,0.3127,0.416015625,0.4375,0.146484375,0.51125,0.15000000000000002,0.33875,0.19999999999999996,10,-3,-1.7878787878787876,0.10650623885918004,0.044871794871794865,1.23,7.0,15.54,1.25,6.95,12.65
Man United,Leicester,4,1,9,0.8084,0.1144,0.0624,0.209765625,0.48750000000000004,0.30273437499999994,0.28,0.8,-0.08000000000000004,0.6,-5,-4,-0.2666666666666666,0.049603174603174593,-0.13352007469654528,1.74,3.86,5.39,1.69,3.93,5.75
Middlesbrough,Tottenham,1,2,9,0.0261,0.0949,0.874,0.09156250000000005,0.42499999999999993,0.4834375,0.024999999999999967,0.5,0.47500000000000003,-0.6000000000000001,8,8,1.625,-0.05512820512820514,0.08333333333333334,3.73,3.48,2.15,3.94,3.41,2.11
Stoke,West Brom,1,1,9,0.0389,0.2407,0.7204,-0.056562500000000016,0.725,0.33156250000000004,-0.08000000000000004,0.8,0.28,-0.6,6,6,-0.08333333333333304,0.024038461538461536,0.225,2.34,3.35,3.4,2.29,3.43,3.42
Sunderland,Crystal Palace,2,3,9,0.0581,0.1914,0.75,-0.03593749999999998,0.625,0.41093749999999996,-0.10499999999999998,0.7,0.405,-0.6,8,11,0.5499999999999998,-0.05555555555555555,0.13333333333333336,2.88,3.3,2.7,2.51,3.31,3.13
Swansea,Man City,1,3,9,0.0171,0.0414,0.8636,0.03742187500000005,0.38749999999999996,0.575078125,0.08875000000000002,0.35,0.56125,-1.0,13,16,1.1666666666666665,-0.05555555555555555,0.02083333333333333,9.45,5.31,1.38,9.05,5.99,1.35
West Ham,Southampton,0,3,9,0.6401,0.2164,0.1419,0.02250000000000002,0.7,0.2775,0.28,0.8,-0.08000000000000004,0.6,-2,3,-1.4749999999999996,0.04051036682615629,0.011689291101055821,2.83,3.35,2.72,3.15,3.41,2.44
Burnley,Watford,2,0,9,0.2882,0.2907,0.4206,0.09179687500000003,0.5625,0.345703125,0.2546875,0.32499999999999996,0.42031250000000003,-0.22857142857142865,0,2,0.4652777777777781,-0.005982905982905962,-0.023554038840416548,3.09,3.21,2.59,3.4,3.23,2.4
Everton,Crystal Palace,1,1,9,0.506,0.2735,0.22,0.34257812499999996,0.23750000000000004,0.419921875,0.44481249999999994,0.17500000000000004,0.3801875,0.1428571428571429,-2,-4,-2.2777777777777772,0.02900432900432899,-0.0317904317904318,1.74,3.95,5.25,1.76,3.88,5.1
Hull,Chelsea,0,2,10,0.2416,0.2171,0.535,0.07281250000000002,0.725,0.20218750000000002,0.081228125,0.6975,0.221271875,-0.14285714285714285,4,4,-0.6499999999999995,0.028083028083028094,-0.1525269111476008,7.68,4.63,1.48,7.5,4.9,1.46
