homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Chievo,Juventus,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-11,nan,nan,nan,7.75,4.12,1.54,8.35,3.84,1.56
Roma,Fiorentina,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-11,nan,nan,nan,1.74,3.92,5.32,1.73,3.8,5.56
Atalanta,Verona,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-16,nan,nan,nan,2.11,3.36,3.95,2.07,3.47,3.99
Cesena,Parma,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-13,nan,nan,nan,3.43,3.2,2.4,5.44,3.65,1.76
Genoa,Napoli,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-11,nan,nan,nan,4.0,3.58,2.04,3.92,3.54,2.07
Milan,Lazio,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-9,nan,nan,nan,2.05,3.51,4.03,2.13,3.18,4.28
Palermo,Sampdoria,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-10,nan,nan,nan,2.24,3.29,3.7,2.26,3.29,3.64
Sassuolo,Cagliari,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-4,nan,nan,nan,2.32,3.57,3.24,2.03,3.71,3.89
Torino,Inter,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-4,nan,nan,nan,3.32,3.46,2.33,2.77,3.34,2.78
Udinese,Empoli,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-1,nan,nan,nan,1.83,3.64,5.04,1.77,3.69,5.48
Empoli,Roma,0,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,16,nan,nan,nan,6.76,4.21,1.57,6.1,3.68,1.71
Juventus,Udinese,2,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-4,1,nan,nan,nan,1.42,4.84,9.3,1.39,5.02,10.09
Cagliari,Atalanta,1,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,4,nan,nan,nan,2.34,3.48,3.29,2.21,3.56,3.5
Fiorentina,Genoa,0,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,2,nan,nan,nan,1.56,4.25,6.98,1.51,4.38,7.66
Inter,Sassuolo,7,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,4,nan,nan,nan,1.47,4.59,8.16,1.52,4.61,6.84
Lazio,Cesena,3,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,5,14,nan,nan,nan,1.35,5.17,11.74,1.35,5.15,12.01
