homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Lazio,Bologna,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,11.0,1,11,nan,nan,nan,nan,nan,nan,1.48,4.52,8.27,1.48,4.32,8.99
Verona,Roma,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,18.0,2,18,nan,nan,nan,nan,nan,nan,5.35,3.87,1.74,5.68,3.85,1.71
Empoli,Chievo,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,16.0,4,16,nan,nan,nan,nan,nan,nan,2.2,3.28,3.83,2.34,3.31,3.45
Fiorentina,Milan,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,14.0,6,14,nan,nan,nan,nan,nan,nan,2.19,3.44,3.66,2.31,3.35,3.47
Frosinone,Torino,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,19.0,7,19,nan,nan,nan,nan,nan,nan,3.79,3.32,2.2,3.77,3.44,2.16
Inter,Atalanta,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,16.0,9,16,nan,nan,nan,nan,nan,nan,1.5,4.39,8.01,1.66,3.95,6.1
Juventus,Udinese,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,20.0,10,20,nan,nan,nan,nan,nan,nan,1.31,5.72,12.11,1.37,4.9,11.89
Palermo,Genoa,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,12,19,nan,nan,nan,nan,nan,nan,2.22,3.41,3.61,2.04,3.45,4.2
Sampdoria,Carpi,5,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,18.0,13,18,nan,nan,nan,nan,nan,nan,1.83,3.6,5.1,2.09,3.27,4.26
Sassuolo,Napoli,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,14,20,nan,nan,nan,nan,nan,nan,5.11,3.69,1.81,4.88,3.71,1.83
Bologna,Sassuolo,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,14.0,15,6,nan,nan,nan,nan,nan,nan,2.25,3.38,3.59,2.93,3.2,2.72
Milan,Empoli,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,8.0,16,12,nan,nan,nan,nan,nan,nan,1.52,4.43,7.31,1.67,4.05,5.7
Atalanta,Frosinone,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,10.0,17,14,nan,nan,nan,nan,nan,nan,1.77,3.7,5.43,1.72,3.85,5.58
Carpi,Inter,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,11.0,18,4,nan,nan,nan,nan,nan,nan,4.87,3.62,1.85,7.45,3.97,1.58
Chievo,Lazio,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,7.0,9,3,nan,nan,nan,nan,nan,nan,3.65,3.31,2.25,4.07,3.32,2.11
Genoa,Verona,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,8.0,19,12,nan,nan,nan,nan,nan,nan,2.05,3.55,3.99,1.98,3.65,4.12
Napoli,Sampdoria,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,14.0,20,7,nan,nan,nan,nan,nan,nan,1.48,4.58,7.84,1.36,5.52,9.72
Roma,Juventus,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,13.0,15,18,nan,nan,nan,nan,nan,nan,2.69,3.27,2.92,2.6,3.26,3.04
Torino,Fiorentina,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,11.0,12,7,nan,nan,nan,nan,nan,nan,2.56,3.35,3.02,2.51,3.29,3.14
Udinese,Palermo,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,14.0,13,9,nan,nan,nan,nan,nan,nan,2.17,3.4,3.77,2.44,3.38,3.18
Fiorentina,Genoa,1,0,9,0.6916,0.3084,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,0.0,2,19.0,9,12,1.8571428571428572,3.6666666666666665,0.15384615384615385,0.0,0.0,0.05263157894736842,1.67,4.0,5.82,1.83,3.66,5.13
Frosinone,Roma,0,2,9,0.0986,0.1932,0.7067,-0.12000000000000005,0.6,0.52,0.5,0.0,0.5,0.0,0.3333333333333333,16,8.0,17,8,4.333333333333333,2.625,0.07692307692307693,0.047619047619047616,0.07692307692307693,0.08333333333333333,9.76,4.7,1.42,9.32,5.03,1.4
Juventus,Chievo,1,1,9,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,17,5.0,18,6,4.2,4.0,0.0,0.25,0.16666666666666666,0.06666666666666667,1.38,4.9,10.62,1.45,4.46,9.23
Empoli,Napoli,2,2,9,0.13,0.1449,0.6943,-0.06375,0.85,0.21375000000000002,0.5,0.0,0.5,0.0,0.0,16,20.0,17,16,3.0,5.0,0.06666666666666667,0.06666666666666667,0.25,0.125,4.67,3.75,1.85,4.54,3.73,1.89
Inter,Milan,1,0,9,0.7213,0.2787,0.0,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,0.0,3,17.0,4,10,3.0,0.0,0.047619047619047616,0.0,0.0,0.15384615384615385,2.19,3.41,3.71,2.18,3.36,3.8
Lazio,Udinese,2,0,9,0.0,0.3679,0.6321,0.2,0.6,0.2,0.5,0.0,0.5,1.0,1.0,3,7.0,9,13,2.3333333333333335,3.0,0.09523809523809523,0.16666666666666666,0.1111111111111111,0.0,1.6,3.99,6.94,1.63,4.04,6.24
Palermo,Carpi,2,2,9,0.9534,0.041,0.0,0.625,0.5,-0.125,0.5,0.0,0.5,1.0,0.0,4,19.0,6,20,3.1666666666666665,3.4285714285714284,0.05263157894736842,0.08333333333333333,0.0,0.5,1.58,4.02,7.1,1.77,3.62,5.58
Sassuolo,Atalanta,2,2,9,0.7213,0.2787,0.0,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,0.0,6,19.0,7,11,2.6666666666666665,0.0,0.125,0.0,0.06666666666666667,0.047619047619047616,2.23,3.31,3.7,2.23,3.46,3.53
Verona,Torino,2,2,9,0.1085,0.1964,0.6935,0.020000000000000018,0.4,0.58,0.5,0.0,0.5,0.3333333333333333,1.0,13,6.0,15,8,1.7142857142857142,3.7142857142857144,0.08333333333333333,0.07692307692307693,0.047619047619047616,0.07692307692307693,3.1,3.39,2.48,2.92,3.48,2.56
Sampdoria,Bologna,2,0,9,0.5192,0.0384,0.0292,0.46374999999999994,0.65,-0.11374999999999996,0.5,0.0,0.5,1.0,0.0,6,18.0,9,20,1.4285714285714286,2.25,0.5,0.1111111111111111,0.08333333333333333,0.09523809523809523,1.85,3.64,4.84,2.0,3.42,4.38
Milan,Palermo,3,2,9,0.0,0.3799,0.6201,0.11550000000000002,0.44999999999999996,0.4345,0.5,0.0,0.5,1.0,1.0,7,5.0,11,2,1.5,5.0,0.3333333333333333,0.2,0.05555555555555555,0.0,1.74,3.79,5.52,1.67,3.84,6.27
